axis-10,18.77,7.03,6.1,6.41,6.42,5.78,5.79,6.72,5.79,5.79
wsc-10,3.44,2.03,1.56,2.04,1.87,1.26,1.4,1.72,1.1,1.09
axis-20,21.42,8.13,7.98,8.29,7.35,7.19,7.04,8.13,7.04,7.04
wsc-20,3.91,2.03,1.88,1.87,2.04,1.56,1.41,1.87,1.41,1.41
axis-50,26.43,13.14,12.04,13.6,12.04,11.89,11.42,13.45,11.57,11.42
wsc-50,4.69,3.44,2.5,2.66,2.19,2.35,2.34,2.19,2.04,2.03
axis-100,34.25,21.42,21.27,20.96,21.11,20.48,19.55,20.49,19.23,20.18
wsc-100,6.26,3.75,3.91,3.75,3.6,3.28,3.6,3.6,3.44,3.44
axis-500,105.87,93.05,93.2,95.55,94.15,93.36,95.86,93.52,93.67,93.99
wsc-500,18.46,16.42,16.57,16.58,16.11,16.1,16.11,17.52,16.1,16.42
axis-1000,174.52,152.79,152.47,150.53,153.41,152.48,153.56,152.79,152.47,153.41
wsc-1000,36.44,34.24,33.63,34.24,34.25,33.78,34.56,34.4,35.97,36.28
axis-5000,877.9,807.7,815.4,806.2,802.9,804.6,809.2,857.7,812.4,870.1
wsc-5000,164.0,142.2,146.8,146.9,135.9,131.2,134.4,131.2,132.8,135.9
wsc-10000,279.7,251.5,248.4,248.4,253.1,260.9,259.4,245.2,248.4,251.6
wsc-50000,1327.9,1295.1,1282.7,1234.2,1217.0,1281.0,1292.1,1285.7,1217.0,1273.3
